Company,Ticker,Sector,PE Ratio,52 Week High,52 Week Low,Avg Volume,Market Cap
"The Beachbody Company, Inc.",BODI,Communication Services,,10.12,3.72,14518,26970514
BlackRock Enhanced Global Dividend Trust,BOE,Financial Services,9.803922,11.47,9.16,167254,570257984
Bank of Hawaii Corporation,BOH,Financial Services,18.933527,82.7,54.5,491316,2606439936
PIMCO Active Bond Exchange-Traded Fund,BOND,,1.5990266,95.32,88.88,429186,
"Boot Barn Holdings, Inc.",BOOT,Consumer Cyclical,15.562501,176.64,86.35,1049239,2666180096
Borr Drilling Limited,BORR,Energy,5.640625,7.26,1.62,6091011,431952704
Bowhead Specialty Holdings Inc.,BOW,Financial Services,30.279072,42.29,22.14,248134,1275805056
"Box, Inc.",BOX,Technology,21.610294,35.74,24.63,1744863,4225958400
BP p.l.c.,BP,Energy,198.46428,39.73,25.22,12874880,73118449664
BP Prudhoe Bay Royalty Trust,BPT,Energy,,2.61,0.4,184372,11269240
"Broadridge Financial Solutions, Inc.",BR,Technology,35.72615,247.01,188.3,548806,26714279936
"BellRing Brands, Inc.",BRBR,Consumer Defensive,34.438683,80.67,48.06,1373486,9365942272
Brady Corporation,BRC,Industrials,16.477612,77.68,58.32,273806,3164960256
BRC Inc.,BRCC,Consumer Defensive,,7.14,1.89,625940,168224752
Bridge Investment Group Holdings Inc.,BRDG,Financial Services,64.76923,11.69,6.5,422383,1042774912
BRF S.A.,BRFS,Consumer Defensive,10.666666,4.87,2.99,2064686,5631296000
,BRK.A,,,,,,
,BRK.B,,,,,,
"Brown & Brown, Inc.",BRO,Financial Services,32.765896,125.68,80.87,1806273,32495017984
Dutch Bros Inc.,BROS,Consumer Cyclical,164.79411,86.88,26.85,3436854,9140005888
"BrightSpire Capital, Inc.",BRSP,Real Estate,,6.71,4.16,882767,575548544
BRT Apartments Corp.,BRT,Real Estate,,20.22,14.61,27477,290949472
Saba Capital Income & Opportunities Fund,BRW,Financial Services,8.136364,8.04,6.86,179391,304511200
Brixmor Property Group Inc.,BRX,Real Estate,22.63063,30.67,21.32,2480047,7687725056
Banco Santander-Chile,BSAC,Financial Services,10.909502,24.63,17.79,359213,11358582784
Banco Santander (Brasil) S.A.,BSBR,Financial Services,16.172415,6.01,3.75,670372,34985758720
Blackstone Senior Floating Rate 2027 Term Fund,BSL,Financial Services,9.653847,14.84,13.47,58273,179612720
"Black Stone Minerals, L.P.",BSM,Energy,12.521739,16.92,12.8,453822,3040387072
BlackRock Science and Technology Trust,BST,Financial Services,3.8587785,39.59,27.871,159403,1053057600
BlackRock Science and Technology Term Trust,BSTZ,Financial Services,2.0731552,22.28,15.22,280513,1148908288
Boston Scientific Corporation,BSX,Healthcare,74.792,107.17,66.8,8352034,1.38278E+11
BlackRock Long-Term Municipal Advantage Trust,BTA,Financial Services,15.250001,11.1,8.76,36162,118875920
BIT Mining Limited,BTCM,Technology,,4.27,1.22,40032,21298590
Baytex Energy Corp.,BTE,Energy,7.905238,3.96,1.36,41120503,1283499648
British American Tobacco p.l.c.,BTI,Consumer Defensive,23.508333,42.74,29.07,5186306,92831907840
John Hancock Financial Opportunities Fund,BTO,Financial Services,4.2114844,39.87,26.4,48155,594357568
Blackrock Municipal 2030 Target Term Trust,BTT,Financial Services,34.466667,21.83,20.2,148995,1356856192
Peabody Energy Corporation,BTU,Energy,4.514652,29.94,9.61,5014857,1498313216
BlackRock Innovation and Growth Term Trust,BTX,,33.47059,8.308,5.1,813368,1213893248
BlackRock Credit Allocation Income Trust,BTZ,Financial Services,14.782608,11.3,9.54,290567,951909824
Anheuser-Busch InBev SA/NV,BUD,Consumer Defensive,22.842659,67.49,45.94,2560821,1.27573E+11
"BlackRock Utilities, Infrastructure & Power Opportunities Trust",BUI,Financial Services,13.965408,24.94,20.27,56826,500762720
Burford Capital Limited,BUR,Financial Services,20.439392,16.37,11.17,1048637,2960002816
"Burlington Stores, Inc.",BURL,Consumer Cyclical,27.711168,298.89,174.64,1292114,13597607936
Strive Enhanced Income Short Maturity ETF,BUXX,,,21.29,20.16,216398,
"BrightView Holdings, Inc.",BV,Industrials,48,18.89,11.01,655942,1237680000
Compañía de Minas Buenaventura S.A.A.,BVN,Basic Materials,10.027586,18.84,11.5,1115045,3690586624
"Babcock & Wilcox Enterprises, Inc.",BW,Industrials,,2.99,0.24,1264211,28527320
BorgWarner Inc.,BWA,Consumer Cyclical,16.067486,38.23,24.4,3690378,5753576448
Legg Mason BW Global Income Opportunities Fund Inc.,BWG,Financial Services,4.448531,8.95,7.46,76355,132216952
BW LPG Limited,BWLP,Industrials,2.6229053,22.309,7.86,475527,1421110912
"Betterware de México, S.A.P.I. de C.V.",BWMX,Consumer Cyclical,10.857895,20.36,10.016,20980,384919680
,BWNB,,,22.55,13.8,19904,
,BWSN,,,24.74,16.76,16952,
"BWX Technologies, Inc.",BWXT,Industrials,32.73127,136.31,84.21,1087981,9183797248
Blackstone Inc.,BX,Financial Services,36.59394,200.96,115.66,5067639,1.4751E+11
BlueLinx Holdings Inc.,BXC,Industrials,11.315024,134.79,67.42,87127,572958720
"Blackstone Mortgage Trust, Inc.",BXMT,Real Estate,,21.24,16.51,1824913,3089568000
Nuveen S&P 500 Buy-Write Income Fund,BXMX,Financial Services,5.4459457,14.34,11.25,215093,1259354880
"BXP, Inc.",BXP,Real Estate,689.3333,90.11,54.22,1495247,10943173632
Blackstone Secured Lending Fund,BXSL,Financial Services,8.176811,34.64,25.89,1363583,6426774016
"Byline Bancorp, Inc.",BY,Financial Services,8.683636,32.89,20.64,154388,1067046720
Boyd Gaming Corporation,BYD,Consumer Cyclical,10.317448,80.5,49.34,1015754,5269673984
BlackRock Municipal Income Quality Trust,BYM,Financial Services,53.42053,12.38,10.06,115632,262915920
"Beyond, Inc.",BYON,Consumer Cyclical,,24.25,3.54,3564196,201886464
"Beazer Homes USA, Inc.",BZH,Consumer Cyclical,4.5801525,38.22,17.37,488740,561655808
Citigroup Inc.,C,Financial Services,9.846762,84.74,53.51,17806119,1.16414E+11
Corporación América Airports S.A.,CAAP,Industrials,10.22,20.79,13.965,260093,2881094656
"Cable One, Inc.",CABO,Communication Services,97.81008,436.995,225.94,153447,1420107264
CACI International Inc,CACI,Technology,19.61719,588.26,318.6,605942,9363587072
Cadence Bank,CADE,Financial Services,9.954874,40.2,25.22,1290996,5060701696
CAE Inc.,CAE,Industrials,,27.62,15.95,557163,7412824576
"Morgan Stanley China A Share Fund, Inc.",CAF,Financial Services,11.306306,16.11,11,35377,215563824
"Conagra Brands, Inc.",CAG,Consumer Defensive,37.25,33.24,23.06,6360237,12091579392
"Cardinal Health, Inc.",CAH,Healthcare,24.521397,139.5,93.17,2651727,31809650688
"Caleres, Inc.",CAL,Consumer Cyclical,4.8220067,44.51,14.25,996403,507978240
"Calix, Inc.",CALX,Technology,,42.5,26.76,759149,2196741120
Cango Inc.,CANG,Consumer Cyclical,11.028571,9.66,1.32,344513,400621664
CrossAmerica Partners LP,CAPL,Energy,43.08154,25.73,18.43,44195,852628608
Carrier Global Corporation,CARR,Industrials,47.508194,83.32,53.5,5889413,50076741632
Cars.com Inc.,CARS,Consumer Cyclical,15.597221,21.24,9.87,826831,717007424
Caterpillar Inc.,CAT,Industrials,12.860041,418.5,267.3,2946739,1.35463E+11
The Cato Corporation,CATO,Consumer Cyclical,,6.7,2.19,64393,46165220
"CAVA Group, Inc.",CAVA,Consumer Cyclical,71.69091,172.43,58.22,3618911,9115822080
Chubb Limited,CB,Financial Services,12.307048,306.91,238.85,1803722,1.11939E+11
"Colony Bankcorp, Inc.",CBAN,Financial Services,10.827206,18.49,10.52,80575,257983472
"CBL & Associates Properties, Inc.",CBL,Real Estate,12.339573,33.535,21.1,175922,713845888
"Chain Bridge Bancorp, Inc.",CBNA,Financial Services,5.767386,27.56,20.01,17747,157811760
"CBRE Group, Inc.",CBRE,Real Estate,36.42038,147.75,84.24,2029103,34291646464
Cabot Corporation,CBT,Basic Materials,10.192143,117.46,73.63,461126,4150276352
"Community Financial System, Inc.",CBU,Financial Services,15.322674,73.39,42.16,245959,2785017088
"CBIZ, Inc.",CBZ,Industrials,95.48719,90.13,62.66,379085,4026254848
The Chemours Company,CC,Basic Materials,19.385965,29.21,9.33,2964360,1651323008
Crown Castle Inc.,CCI,Real Estate,,120.92,84.2,3430927,44457807872
Vertical Capital Income Fund,CCIA,,,27.79,25,5422,
Carlyle Credit Income Fund,CCIF,Financial Services,14.469111,8.8,5.95,176447,109473072
Cameco Corporation,CCJ,Energy,140.08928,62.55,35,4533663,17075112960
"Crown Holdings, Inc.",CCK,Consumer Cyclical,23.563381,98.46,70.84,1396637,9784038400
Carnival Corporation & plc,CCL,Consumer Cyclical,11.074195,28.72,13.78,25897411,23256174592
Concord Medical Services Holdings Limited,CCM,Healthcare,,26.7,3.8,15242,18929900
"Clear Channel Outdoor Holdings, Inc.",CCO,Communication Services,,1.88,0.81,1831372,467621184
CoreCard Corporation,CCRD,Technology,28.07,24.97,11.49,22049,146443312
"Century Communities, Inc.",CCS,Real Estate,5.556731,108.42,55.85,479262,1771356032
Compañía Cervecerías Unidas S.A.,CCU,Consumer Defensive,16.833334,15.67,10,232967,2798977792
Comcast Holdings Corp.,CCZ,,49.06143,68.405,53.14,416,54465953792
"Coeur Mining, Inc.",CDE,Basic Materials,39.366665,7.72,4.03,20757267,3774198784
Cadeler A/S,CDLR,Industrials,23.25,28.75,17.365,67975,1774476288
COPT Defense Properties,CDP,Real Estate,21.00813,34.22,22.53,1133663,2971496704
"Cadre Holdings, Inc.",CDRE,Industrials,33.622223,40.28,27.074,242026,1228798080
Celanese Corporation,CE,Basic Materials,,169.5,36.29,3824640,4391931904
"The Central and Eastern Europe Fund, Inc.",CEE,Financial Services,4.8339224,16.71,9.41,90409,87491944
Central Puerto S.A.,CEPU,Utilities,39.053574,16.6,7.07,296845,1643246208
"CF Industries Holdings, Inc.",CF,Basic Materials,11.019288,98.25,67.34,2928031,12363503616
"Citizens Financial Group, Inc.",CFG,Financial Services,10.863492,49.25,32.6,4960093,14976999424
"Cullen/Frost Bankers, Inc.",CFR,Financial Services,12.447012,147.64,94.09,526585,7091865088
Centerra Gold Inc.,CGAU,Basic Materials,19.901714,7.82,5.41,951821,1460233600
Conductor Global Equity Value ETF,CGV,,12.206449,13.74,11.16,19329,
Community Healthcare Trust Incorporated,CHCT,Real Estate,,27.62,14.755,246639,453997216
"Church & Dwight Co., Inc.",CHD,Consumer Defensive,43.57806,116.46,96.35,1721667,25418240000
Chemed Corporation,CHE,Healthcare,28.273,623.61,512.12,118847,8218576384
"Chegg, Inc.",CHGG,Consumer Defensive,,7.22,0.44,3279857,54803828
"Choice Hotels International, Inc.",CHH,Consumer Cyclical,19.56613,157.86,109.22,435336,5660931072
Cherry Hill Mortgage Investment Corporation,CHMI,Real Estate,37.642857,3.99,2.34,339834,84905496
"The China Fund, Inc.",CHN,Financial Services,4.137681,14.74,9.29,36188,111142752
"ChargePoint Holdings, Inc.",CHPT,Consumer Cyclical,,2.44,0.51,26380106,261999328
"Chunghwa Telecom Co., Ltd.",CHT,Communication Services,26.840137,40.62,35.92,123265,30607022080
"Chewy, Inc.",CHWY,Consumer Cyclical,37.142857,40.089,14.685,5536931,13980964864
The Cigna Group,CI,Healthcare,26.7335,370.83,262.03,1904606,87841701888
"Citizens, Inc.",CIA,Financial Services,14.827587,5.95,1.99,118665,214601824
Bancolombia S.A.,CIB,Financial Services,6.635157,44.93,30.25,503829,10476218368
CION Investment Corporation,CICB,,,26.03,24.4,19539,
Ciena Corporation,CIEN,Technology,105.090904,101.44,43.3,2757775,8216038912
MFS Intermediate High Income Fund,CIF,Financial Services,7.038261,1.83,1.52,130067,29145038
Companhia Energética de Minas Gerais - CEMIG,CIG,Utilities,4.914572,2.19,1.59,3265529,5627273216
"BlackRock Enhanced Large Cap Core Fund, Inc.",CII,Financial Services,5.8951054,21.14,15.2,134967,707567040
Chimera Investment Corporation,CIM,Real Estate,10.118181,16.89,9.85,671695,900668544
,CIMN,,,25.85,23.62,11544,
Chimera Investment Corporation,CIMO,,,26.25,24.12,17318,
CI&T Inc.,CINT,Technology,21.086956,8.04,3.34,123698,653207680
"City Office REIT, Inc.",CIO,Real Estate,,6.5,4.19,181521,195737264
CION Investment Corporation,CION,Financial Services,14.698413,12.71,8.51,377550,491027264
"Civitas Resources, Inc.",CIVI,Energy,3.327423,78.63,22.79,2285311,2618436864
Colgate-Palmolive Company,CL,Consumer Defensive,26.927351,109.3,85.32,5350973,76659605504
Core Laboratories Inc.,CLB,Energy,18.742424,25.13,10.14,421232,577706240
,CLBR,,39.851852,12.28,10.15,195078,228650000
Cool Company Ltd.,CLCO,Energy,3.0504372,13.68,4.51,232378,298766944
Chatham Lodging Trust,CLDT,Real Estate,,10,5.83,396101,348722400
Cleveland-Cliffs Inc.,CLF,Basic Materials,,21.15,6.17,21327903,3437165312
"Clean Harbors, Inc.",CLH,Industrials,27.376852,267.11,178.29,516636,11025290240
Clipper Realty Inc.,CLPR,Real Estate,,7.12,3.38,139977,153719312
Celestica Inc.,CLS,Technology,22.278395,144.27,40.25,5556881,9326003200
Clarivate Plc,CLVT,Technology,,7.31,3.04,6551013,2218438400
Clearwater Paper Corporation,CLW,Basic Materials,,57.13,22.58,280244,392097888
The Clorox Company,CLX,Consumer Defensive,37.54076,171.37,127.6,1552475,17018697728
Canadian Imperial Bank of Commerce,CM,Financial Services,10.571688,67.45,46.5,1108490,54756397056
Comerica Incorporated,CMA,Financial Services,9.986056,73.45,45.32,2253960,6577356800
Cmb.Tech NV,CMBT,Energy,1.9662161,21.26,7.65,79445,1706313344
Commercial Metals Company,CMC,Basic Materials,69.53333,64.53,37.92,1280883,4714401792
Cheetah Mobile Inc.,CMCM,Communication Services,,6.78,3.02,43493,109565800
"Chipotle Mexican Grill, Inc.",CMG,Consumer Cyclical,41.13063,69.2614,44.46,13335213,61878046720
Cummins Inc.,CMI,Industrials,9.565885,387.9,260.02,972288,37394444288
"Compass Minerals International, Inc.",CMP,Basic Materials,,15.82,7.51,638913,471071552
Costamare Inc.,CMRE,Industrials,3.5327868,17.58,8.11,512957,1034063808
CMS Energy Corporation,CMS,Utilities,21.67868,76.45,58.5,2607447,21593112576
CMS Energy Corporation 5.6% JRSUB NT 78,CMSA,,11.632196,25.53,20.66,12963,5860096000
,CMSC,,,25.36,21.28,29573,
,CMSD,,,25.3,21.7454,49977,
"Claros Mortgage Trust, Inc.",CMTG,Real Estate,,9.81,2.13,1361144,310779520
MFS High Yield Municipal Trust,CMU,Financial Services,6.673469,3.7,3.18,63181,83361456
CNA Financial Corporation,CNA,Financial Services,13.309659,52.36,42.33,413029,12657088512
Centene Corporation,CNC,Healthcare,9.196513,80.59,55.03,4689921,28786360320
CNFinance Holdings Limited,CNF,Financial Services,2.9166667,2.84,0.6,49983,48007540
CNH Industrial N.V.,CNH,Industrials,10.934343,13.87,9.28,19401577,13510032384
Canadian National Railway Company,CNI,Industrials,19.612051,130.63,91.65,1534059,61761617920
"Cinemark Holdings, Inc.",CNK,Communication Services,13.696603,36.28,16.32,3956144,3327084544
"Core & Main, Inc.",CNM,Industrials,22.38967,62.15,37.22,2056681,9437231104
CONMED Corporation,CNMD,Healthcare,11.061176,78.58,46.03,531027,1454009856
"Cannae Holdings, Inc.",CNNE,Consumer Cyclical,,22.36,15.915,635290,1063109184
"CNO Financial Group, Inc.",CNO,Financial Services,9.9652405,43.2,25.75,736609,3737659392
"CenterPoint Energy, Inc.",CNP,Utilities,23.06962,37.7,25.41,5437832,23791898624
Canadian Natural Resources Limited,CNQ,Energy,13.997549,39.2,24.65,7579622,59944087552
"Core Natural Resources, Inc.",CNR,Energy,7.611863,134.59,58.19,1023160,3909479936
"Cohen & Steers, Inc.",CNS,Financial Services,23.552288,110.67,67.09,233539,3673552128
CNX Resources Corporation,CNX,Energy,,41.93,22.82,2846403,4415773696
Compass Diversified,CODI,Industrials,,24.59,15.64,304206,1210547200
Capital One Financial Corporation,COF,Financial Services,14.225152,210.67,128.23,4634254,63029309440
Coherent Corp.,COHR,Technology,,113.6,45.58,4482818,7969953280
"Americold Realty Trust, Inc.",COLD,Real Estate,,30.45,16.665,2534737,5590268416
"Compass, Inc.",COMP,Real Estate,,10.25,3.025,7059300,3586499328
"Concentra Group Holdings Parent, Inc.",CON,Healthcare,13.369863,24.805,18.89,847936,2501917440
"Traeger, Inc.",COOK,Consumer Cyclical,,3.97,1.32,173011,186828064
ConocoPhillips,COP,Energy,11.120358,130.77,79.88,9314177,1.09793E+11
"Cencora, Inc.",COR,Healthcare,39.70071,296.65,214.77,1794736,54218334208
Coty Inc.,COTY,Consumer Defensive,Infinity,11.81,4.56,7788749,4085287168
"Coursera, Inc.",COUR,Consumer Defensive,,12.37,5.76,1921981,1122209408
Canadian Pacific Kansas City Limited,CP,Industrials,25.624561,88.31,66.49,3655032,68190445568
"Copa Holdings, S.A.",CPA,Industrials,6.0006866,114,80.01,321327,3597285120
Cementos Pacasmayo S.A.A.,CPAC,Basic Materials,9.471999,6.65,5.1,5631,481785856
Counterpoint Quantitative Equity ETF,CPAI,,22.133543,37.55,28.33,17342,
"Corpay, Inc.",CPAY,Technology,21.301075,400.81,247.1,497077,20874758144
Central Pacific Financial Corp.,CPF,Financial Services,12.738578,33.25,19.24,181131,680470976
Chesapeake Utilities Corporation,CPK,Utilities,25.5,136.52,102.64,112413,3086599680
"Coupang, Inc.",CPNG,Consumer Cyclical,264.3125,26.91,18.16,8663144,38292537344
Capri Holdings Limited,CPRI,Consumer Cyclical,,43.34,11.86,4454531,1556412032
Cooper-Standard Holdings Inc.,CPS,Consumer Cyclical,,17.76,10.38,302549,208559168
Camden Property Trust,CPT,Real Estate,73.68,127.69,95.99,1056254,12024465408
"Cheniere Energy Partners, L.P.",CQP,Energy,13.494118,68.42,46.71,223368,27760152576
Crane Company,CR,Industrials,29.73747,188.52,127.04,335513,7846387712
,CRBD,,,25.645,23.55,69195,
"Corebridge Financial, Inc.",CRBG,Financial Services,7.298387,35.358,23.69,3107647,14997090304
California Resources Corporation,CRC,Energy,7.382035,60.41,30.97,1030836,3091505920
,CRD.A,,,,,,
,CRD.B,,,,,,
Crescent Energy Company,CRGY,Energy,,16.94,6.83,3791336,2089754112
CRH plc,CRH,Basic Materials,16.390438,110.97,71.18,7553395,55640780800
"Carter's, Inc.",CRI,Consumer Cyclical,6.8750005,74.4,32.12,1518322,1275545984
"Comstock Resources, Inc.",CRK,Energy,,22.06,7.74,2438909,5489653760
"Charles River Laboratories International, Inc.",CRL,Healthcare,505.55,254.15,91.86,1587247,4966088704
"Salesforce, Inc.",CRM,Technology,36.99685,369,212,7396739,2.25768E+11
Carpenter Technology Corporation,CRS,Industrials,31.461246,213.66,75.73,882703,8312945152
Cross Timbers Royalty Trust,CRT,Energy,10.610526,14.98,8.88,30868,60480000
Cosan S.A.,CSAN,Energy,,11.75,4.31,1198521,2283808768
Carlisle Companies Incorporated,CSL,Industrials,18.861156,481.26,311.41,514296,15263551488
Centerspace,CSR,Real Estate,,76.16,54.13,90355,1037429696
Constellium SE,CSTM,Basic Materials,22,22,7.33,1612883,1194794368
"Carriage Services, Inc.",CSV,Consumer Cyclical,18.380953,42.75,24.07,141126,605224832
Qwest Corp. NT,CTBB,,,19.221,9.12,92232,
Qwest Corp. 6.75% NT 57,CTDD,,,19.21,9.51,98350,
,CTEV,Healthcare,,31,4.8,124918,326575136
"CTO Realty Growth, Inc.",CTO,Real Estate,,21.15,16.12,343414,595830336
"Custom Truck One Source, Inc.",CTOS,Industrials,,6.11,3.03,806772,807830592
Coterra Energy Inc.,CTRA,Energy,16.520132,29.95,22.3,6797221,18934450176
"CareTrust REIT, Inc.",CTRE,Real Estate,35.025,33.15,23.26,1869116,5258289152
"Centuri Holdings, Inc.",CTRI,Utilities,,28.645,14.455,407188,1447703680
CTS Corporation,CTS,Technology,19.61905,59.68,34.02,181604,1112893184
"Corteva, Inc.",CTVA,Basic Materials,48.204918,66.24,50.01,3826780,40168112128
,CUBB,,,21.845,18.26,4291,
CubeSmart,CUBE,Real Estate,22.34593,55.14,34.24,1797388,8844969984
"Customers Bancorp, Inc.",CUBI,Financial Services,8.693517,68.49,40.75,310137,1397600896
Carnival Corporation & plc,CUK,Consumer Cyclical,9.987097,26.14,12.65,1988719,20299077632
"Culp, Inc.",CULP,Consumer Cyclical,,6.85,3.61,24140,45338348
Curbline Properties Corp.,CURB,Real Estate,252.5,25.69,18.8,635632,2390988288
Torrid Holdings Inc.,CURV,Consumer Cyclical,33.566666,9.14,2.18,317201,528312448
